ID;AÑO;AREA;LENGUAJE;MATEMÁTICA;PROM. LEN-MAT;HISTORIA;CIENCIAS
1;2009;HC;604,5;504,5;554,5;451,2;454
2;2010;HC;623,1;521,4;572,3;466,3;466,8
3;2011;HC;649;524,8;586,9;463,3;466,6
4;2012;HC;696;567;631,5;514,3;499
5;2013;HC;695,8;597,6;646,7;504,1;502,1
6;2014;HC;699,4;567,4;633,4;544,4;496,4
7;2015;HC;783,2;636,4;709,8;574,8;571,8
8;2016;HC;729,5;592;660,8;580,5;510,1
9;2017;HC;705,9;570,8;638,4;501,3;494,1
10;2018;HC;740,9;611,4;676,2;562;539,1
11;2019;HC;725,6;602,8;664,2;;524,2
12;2020;HC;680,5;579,4;630;521,7;504,7
13;2021;HC;681,6;569,6;625,6;501,1;505
14;2022;HC;672,7;601,6;637,1;570,9;516
15;2023;HC;648,2;668,3;658,9;540,1;508,7
16;2009;TP-COM;558;449,7;503,9;407,8;404,9
17;2010;TP-COM;545,9;460,1;503;395,2;411,5
18;2011;TP-COM;538,7;474,3;506,5;402,2;443,5
19;2012;TP-COM;503,5;464,7;484,1;392,4;423,1
20;2013;TP-COM;530,9;471,9;501,4;407;423,6
21;2014;TP-COM;533;469,8;501,4;392,9;423,2
22;2015;TP-COM;504,4;435,6;470;400;411,6
23;2016;TP-COM;538,7;469,3;504;395,3;416,2
24;2017;TP-COM;586,2;467,2;526,7;423,9;418,6
25;2018;TP-COM;596,8;483,8;540,3;398,3;423,8
26;2019;TP-COM;579;474,5;526,8;;425,4
27;2020;TP-COM;560,9;481,6;521,3;433,8;415,4
28;2021;TP-COM;562,2;501,1;531,7;454,9;452,3
29;2022;TP-COM;575,7;488,4;532;442,1;446,6
30;2023;TP-COM;540,4;557,4;550,1;431,2;410,6
31;2009;TP-IND;538,5;469,4;504;398,8;441,1
32;2010;TP-IND;535,5;474,4;505;400,8;441,1
33;2011;TP-IND;551;483;517;409,4;475,5
34;2012;TP-IND;542,8;473,2;508;398,1;430,6
35;2013;TP-IND;504,2;458;481,1;396,9;425
36;2014;TP-IND;549,6;465,8;507,7;395,7;443,5
37;2015;TP-IND;574,8;475,5;525,2;400,6;475
38;2016;TP-IND;564;470,4;517,2;406,1;441,3
39;2017;TP-IND;562,2;484;523,1;412,1;441,8
40;2018;TP-IND;543,9;476,3;510,1;390,4;453,3
41;2019;TP-IND;548,7;472,8;510,8;;432,8
42;2020;TP-IND;562,7;474,1;518,4;406,1;425,5
43;2021;TP-IND;560;469,8;514,9;436,1;441,5
44;2022;TP-IND;555;495,9;526,8;446,7;445
45;2023;TP-IND;521,2;525,3;524;423,4;425,8
